AE ID	Eval	Old Pred	New Pred	Confidence	Abs value	Exp typeExp factors
E-GEOD-30628	no	yes	yes	0.022	0.022	transcription profiling by array	STRAIN | GENOTYPE/VARIATION
E-GEOD-12950	yes	yes	yes	0.035	0.035	transcription profiling by array	None
E-GEOD-56698	no	yes	no	-0.019	0.019	transcription profiling by array	None
E-GEOD-42880	no	yes	no	-0.084	0.084	RNA-Seq	GENOTYPE | AGE | LIBRARY STRATEGY | RNA SUBTYPE | CELL TYPE | STRAIN OR LINE
E-GEOD-12954	yes	yes	yes	0.086	0.086	transcription profiling by array	AGE
E-GEOD-7536	yes	yes	yes	0.081	0.081	transcription profiling by array	None
E-GEOD-58343	yes	yes	no	-0.000	0.000	RNA-Seq	FRACTION | BEHAVIOR | LOCATION
E-MTAB-1432	no	yes	yes	0.015	0.015	transcription profiling by array	genotype
E-GEOD-7823	no	yes	no	-0.019	0.019	transcription profiling by array	None
E-GEOD-3088	no	yes	none	none	none	transcription profiling by array	
E-GEOD-65146	no	yes	yes	0.012	0.012	transcription profiling by array	genotype | time
E-GEOD-12798	no	yes	none	none	none	transcription profiling by array	
E-GEOD-58699	no	yes	yes	0.023	0.023	transcription profiling by array	GENOTYPE
E-GEOD-12795	no	yes	none	none	none	transcription profiling by array	
E-GEOD-52448	no	yes	yes	0.032	0.032	transcription profiling by array	GENOTYPE
E-MTAB-1487	no	yes	no	-0.003	0.003	transcription profiling by array	disease state | genotype | organism part
E-GEOD-56563	yes	yes	yes	0.046	0.046	transcription profiling by array	GENOTYPE
E-GEOD-7649	no	yes	yes	0.002	0.002	transcription profiling by array	None
E-GEOD-38739	no	yes	yes	0.031	0.031	transcription profiling by array	AGE
E-MEXP-774	no	yes	none	none	none	transcription profiling by array	
E-GEOD-28622	yes	yes	yes	0.050	0.050	transcription profiling by array	AGE | TIMEPOINT
E-MTAB-1728	no	yes	yes	0.025	0.025	RNA-Seq	data provider | algorithm
E-GEOD-28620	yes	yes	no	-0.015	0.015	transcription profiling by array	genotype
E-GEOD-54474	no	yes	yes	0.012	0.012	transcription profiling by array	genotype | Stage
E-GEOD-78996	no	yes	yes	0.011	0.011	RNA-Seq	genotype
E-GEOD-7310	no	yes	no	-0.019	0.019	transcription profiling by array	None
E-GEOD-7647	no	yes	no	-0.032	0.032	transcription profiling by array	None
E-MEXP-283	no	yes	none	none	none	transcription profiling by array	
E-GEOD-42999	no	yes	yes	0.056	0.056	RNA-Seq	compound
E-GEOD-61919	no	yes	no	-0.006	0.006	transcription profiling by array	genotype
E-MEXP-280	no	yes	no	-0.021	0.021	transcription profiling by array	control_spike_calibration
E-MEXP-287	no	no	none	none	none	transcription profiling by array	
E-MEXP-286	no	no	none	none	none	transcription profiling by array	
E-GEOD-27261	yes	yes	yes	0.100	0.100	transcription profiling by array	GENOTYPE
E-GEOD-41246	yes	yes	none	none	none	RNA-Seq	
E-GEOD-8924	no	yes	no	-0.015	0.015	transcription profiling by array	None
E-GEOD-50501	yes	yes	yes	0.008	0.008	transcription profiling by array	GENOTYPE
E-GEOD-24286	yes	yes	yes	0.058	0.058	transcription profiling by array	ANTIBODY
E-MEXP-288	no	no	none	none	none	transcription profiling by array	
E-GEOD-36669	no	yes	no	-0.009	0.009	transcription profiling by array	WEEKS | GENOTYPE
E-GEOD-10035	yes	yes	yes	0.013	0.013	transcription profiling by array	None
E-GEOD-61915	yes	yes	yes	0.037	0.037	RNA-Seq	AGE
E-GEOD-39699	yes	yes	yes	0.027	0.027	transcription profiling by array	AGE | ORGANISM PART
E-GEOD-38983	no	yes	no	-0.001	0.001	RNA-Seq	MEDIP ANTIBODY | ORGANISM PART | GENOTYPE | ANIMAL ID
E-GEOD-39929	no	yes	yes	0.009	0.009	transcription profiling by array	GENOTYPE | TIME
E-GEOD-39928	no	yes	yes	0.009	0.009	transcription profiling by array	GENOTYPE | TIME
E-GEOD-59833	no	no	none	none	none	RNA-Seq	
E-GEOD-85726	yes	yes	none	none	none	RNA-Seq	
E-GEOD-85727	yes	yes	none	none	none	RNA-Seq	
E-GEOD-7791	no	no	none	none	none	transcription profiling by array	
E-GEOD-20969	no	yes	yes	0.021	0.021	transcription profiling by array	DISEASE | GENOTYPE
E-GEOD-20968	yes	yes	yes	0.044	0.044	transcription profiling by array	None
E-GEOD-85721	no	yes	no	-0.031	0.031	RNA-Seq	strain | age
E-GEOD-3248	no	yes	yes	0.012	0.012	transcription profiling by array	Age | Genotype | StrainOrLine | Phenotype
E-GEOD-33343	no	yes	yes	0.029	0.029	RNA-Seq	GROWTH | CELL TYPE
E-GEOD-76197	no	yes	yes	0.005	0.005	transcription profiling by array	stress | organism part | time
E-GEOD-68269	no	yes	yes	0.020	0.020	transcription profiling by array	treatment
E-GEOD-28025	yes	yes	yes	0.090	0.090	transcription profiling by array	AGE | GENOTYPE
E-GEOD-68265	no	yes	no	-0.002	0.002	RNA-Seq	subcellular compartment | treatment | genotype | method
E-GEOD-46320	yes	yes	yes	0.024	0.024	transcription profiling by array	GENOTYPE | ORGANISM PART
E-MEXP-352	yes	yes	yes	0.031	0.031	transcription profiling by array	genotype
E-GEOD-26024	yes	yes	yes	0.047	0.047	transcription profiling by array	STRAIN OR LINE | SEX
E-GEOD-26025	no	yes	none	none	none	transcription profiling by array	
E-GEOD-23496	no	yes	yes	0.026	0.026	transcription profiling by array	None
E-MEXP-5	yes	yes	yes	0.007	0.007	transcription profiling by array	None
E-GEOD-66440	yes	yes	no	-0.007	0.007	RNA-Seq	organism part | supplementary file | genotype | diet
E-GEOD-84840	no	yes	yes	0.016	0.016	transcription profiling by array	agouti a allele | sex
E-GEOD-72833	yes	yes	yes	0.060	0.060	RNA-Seq	age
E-GEOD-45327	no	yes	no	-0.044	0.044	transcription profiling by array	DIET
E-GEOD-55581	no	yes	no	-0.027	0.027	RNA-Seq	STRAIN | DIET | CHIP ANTIBODY
E-GEOD-48009	yes	yes	yes	0.011	0.011	transcription profiling by array	None
E-GEOD-62294	no	yes	no	-0.048	0.048	RNA-Seq	genotype
E-GEOD-23033	yes	yes	yes	0.011	0.011	transcription profiling by array	VARIATION
E-GEOD-55589	no	yes	yes	0.027	0.027	RNA-Seq	genotype
E-GEOD-19474	no	yes	yes	0.028	0.028	transcription profiling by array	None
E-GEOD-54056	no	yes	yes	0.021	0.021	transcription profiling by array	STRAIN | PROTOCOL
E-GEOD-42761	no	yes	no	-0.002	0.002	transcription profiling by array	FEEDING | GENOTYPE
E-GEOD-33418	no	yes	no	-0.011	0.011	transcription profiling by array	TIME POINT | AGENT
E-GEOD-25286	no	yes	none	none	none	transcription profiling by array	
E-GEOD-44262	no	yes	yes	0.032	0.032	RNA-Seq	None
E-GEOD-40515	no	yes	no	-0.003	0.003	transcription profiling by array	STAIN | AGE | GENOTYPE
E-GEOD-27397	no	yes	yes	0.057	0.057	transcription profiling by array	STRAIN | CELL TYPE
E-GEOD-27396	yes	yes	yes	0.053	0.053	transcription profiling by array	TYPE
E-GEOD-27395	no	yes	no	-0.019	0.019	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-63070	no	yes	yes	0.008	0.008	transcription profiling by array	genotype and mouse id
E-GEOD-5304	no	yes	none	none	none	transcription profiling by array	
E-GEOD-31731	no	yes	yes	0.063	0.063	transcription profiling by array	GENOTYPE | ORGANISM PART
E-GEOD-66557	no	yes	yes	0.035	0.035	RNA-Seq	genotype
E-GEOD-58318	no	yes	yes	0.116	0.116	RNA-Seq	genotype
E-GEOD-57292	no	yes	no	-0.008	0.008	transcription profiling by array	STRAIN
E-GEOD-39584	yes	yes	yes	0.054	0.054	transcription profiling by array	PRDM1 GENOTYPE
E-GEOD-58238	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-58239	yes	yes	yes	0.062	0.062	RNA-Seq	CROSS
E-GEOD-57567	yes	yes	yes	0.041	0.041	RNA-Seq	None
E-GEOD-18330	no	no	none	none	none	transcription profiling by array	
E-GEOD-76686	no	yes	none	none	none	transcription profiling by array	
E-GEOD-51778	no	yes	no	-0.001	0.001	transcription profiling by array	GENOTYPE
E-GEOD-38850	no	yes	no	-0.025	0.025	transcription profiling by array	SOURCE
E-GEOD-5309	no	yes	yes	0.003	0.003	transcription profiling by array	CellType
E-GEOD-39859	yes	yes	no	-0.006	0.006	transcription profiling by array	STRAIN OR LINE | VARIATION | SAMPLING AGE | ORGANISM PART
E-GEOD-59494	no	yes	no	-0.020	0.020	transcription profiling by array	None
E-GEOD-19312	no	yes	yes	0.125	0.125	transcription profiling by array	AGE | INDIVIDUAL IDENTIFIER | CELL TYPE | BIOSOURCEPROVIDER
E-GEOD-59017	yes	yes	yes	0.298	0.298	RNA-Seq	GENOTYPE
E-GEOD-19316	yes	yes	no	-0.020	0.020	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-14800	no	yes	yes	0.009	0.009	transcription profiling by array	GENOTYPE
E-GEOD-25450	no	yes	yes	0.003	0.003	RNA-Seq	ORGANISM | CELL TYPE
E-GEOD-14802	yes	yes	yes	0.088	0.088	transcription profiling by array	GENOTYPE
E-MTAB-2668	no	yes	yes	0.014	0.014	transcription profiling by array	genotype
E-GEOD-55633	no	yes	yes	0.021	0.021	RNA-Seq	GENOTYPE
E-GEOD-13819	no	yes	no	-0.006	0.006	transcription profiling by array	None
E-MEXP-2428	yes	yes	yes	0.022	0.022	transcription profiling by array	DISEASE_STATE | AGE | GENOTYPE
E-GEOD-55636	no	yes	no	-0.013	0.013	transcription profiling by array	ORGANISM PART | FASTING BLOOD GLUCOSE LEVELS
E-GEOD-67366	yes	yes	yes	0.020	0.020	transcription profiling by array	genotype
E-GEOD-11149	yes	yes	yes	0.054	0.054	transcription profiling by array	None
E-GEOD-11148	yes	yes	yes	0.024	0.024	transcription profiling by array	None
E-GEOD-65926	yes	yes	yes	0.075	0.075	RNA-Seq	organism | differentiation stage | cell subtype
E-GEOD-65927	no	yes	yes	0.017	0.017	transcription profiling by array	age | organism part
E-GEOD-27640	no	no	none	none	none	transcription profiling by array	
E-GEOD-11141	no	yes	no	-0.043	0.043	transcription profiling by array	None
E-GEOD-65929	yes	yes	yes	0.038	0.038	RNA-Seq	genotype
E-GEOD-11147	no	yes	no	-0.007	0.007	transcription profiling by array	None
E-GEOD-6970	no	yes	no	-0.002	0.002	transcription profiling by array	None
E-GEOD-70846	no	yes	yes	0.017	0.017	transcription profiling by array	None
E-GEOD-71501	yes	yes	yes	0.010	0.010	transcription profiling by array	age | genotype | family
E-GEOD-10493	yes	yes	no	-0.019	0.019	transcription profiling by array	STRAIN | DIET | BIOLOGICAL REPLICATE | SEX
E-GEOD-43663	no	yes	yes	0.042	0.042	transcription profiling by array	None
E-GEOD-35782	no	yes	yes	0.005	0.005	transcription profiling by array	genotype
E-GEOD-47760	no	yes	yes	0.009	0.009	transcription profiling by array	GENOTYPE
E-GEOD-70052	no	yes	yes	0.013	0.013	transcription profiling by array	None
E-GEOD-40119	no	yes	no	-0.024	0.024	transcription profiling by array	TREATMENT
E-GEOD-27483	yes	yes	yes	0.027	0.027	transcription profiling by array	STRAIN
E-GEOD-67169	yes	yes	yes	0.071	0.071	RNA-Seq	age | genotype | organism part
E-GEOD-57105	no	yes	yes	0.021	0.021	transcription profiling by array	GENOTYPE
E-GEOD-77001	yes	yes	yes	0.040	0.040	transcription profiling by array	genotype
E-GEOD-19004	no	yes	yes	0.011	0.011	transcription profiling by array	genotype
E-GEOD-74888	yes	yes	no	-0.022	0.022	transcription profiling by array	genotype
E-GEOD-18538	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-27639	no	yes	yes	0.013	0.013	transcription profiling by array	None
E-GEOD-56831	no	yes	yes	0.032	0.032	transcription profiling by array	None
E-GEOD-59121	no	no	yes	0.002	0.002	RNA-Seq	cell type
E-GEOD-29139	no	yes	yes	0.033	0.033	transcription profiling by array	None
E-GEOD-57415	no	yes	no	-0.007	0.007	RNA-Seq	treatment | time
E-GEOD-73018	no	yes	no	-0.021	0.021	RNA-Seq	treatement group | cell fraction
E-GEOD-46980	no	yes	no	-0.023	0.023	RNA-Seq	BARCODE
E-GEOD-67792	no	yes	no	-0.037	0.037	transcription profiling by array	genotype | time
E-GEOD-6196	yes	yes	no	-0.005	0.005	transcription profiling by array	None
E-GEOD-32103	yes	yes	yes	0.032	0.032	transcription profiling by array	VARIATION
E-GEOD-19778	yes	yes	yes	0.059	0.059	transcription profiling by array	GENOME/VARIATION
E-GEOD-6192	no	yes	yes	0.005	0.005	transcription profiling by array	None
E-MTAB-3256	yes	yes	yes	0.057	0.057	transcription profiling by array	age
E-GEOD-19954	no	yes	none	none	none	transcription profiling by array	
E-GEOD-24372	no	yes	no	-0.010	0.010	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-10318	no	yes	yes	0.072	0.072	transcription profiling by array	None
E-GEOD-32963	yes	yes	yes	0.039	0.039	transcription profiling by array	None
E-MEXP-51	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-37446	no	no	none	none	none	transcription profiling by array	
E-GEOD-44697	yes	yes	yes	0.061	0.061	transcription profiling by array	GENOTYPE | ORGANISM PART
E-GEOD-44698	no	no	none	none	none	RNA-Seq	
E-GEOD-26604	yes	yes	yes	0.020	0.020	transcription profiling by array	AGE | GENOTYPE/VARIATION
E-GEOD-32706	no	yes	no	-0.025	0.025	transcription profiling by array	diet
E-GEOD-42303	no	yes	no	-0.046	0.046	transcription profiling by array	genotype | treatment
E-GEOD-21559	no	yes	none	none	none	transcription profiling by array	
E-GEOD-19616	no	yes	no	-0.017	0.017	transcription profiling by array	HISTOLOGICAL SUBTYPE | TISSUE
E-MTAB-2676	yes	yes	yes	0.012	0.012	transcription profiling by array	cell type
E-GEOD-414	yes	yes	no	-0.035	0.035	transcription profiling by array	Time
E-GEOD-16067	no	yes	no	-0.032	0.032	transcription profiling by array	GENOTYPE
E-GEOD-65141	no	yes	no	-0.024	0.024	RNA-Seq	surgery
E-GEOD-47153	no	yes	no	-0.045	0.045	transcription profiling by array	None
E-GEOD-3962	yes	yes	yes	0.059	0.059	transcription profiling by array	DevelopmentalStage | CellType
E-GEOD-51240	no	yes	no	-0.008	0.008	transcription profiling by array	GENOTYPE
E-GEOD-52598	no	no	no	-0.049	0.049	transcription profiling by array	None
E-MEXP-1761	no	yes	none	none	none	transcription profiling by array	
E-GEOD-10768	no	yes	no	-0.012	0.012	transcription profiling by array	None
E-GEOD-10769	no	yes	yes	0.011	0.011	transcription profiling by array	None
E-GEOD-41976	yes	yes	none	none	none	RNA-Seq	
E-MTAB-401	no	yes	no	-0.038	0.038	transcription profiling by array	strain | diet
E-GEOD-42889	no	yes	no	-0.048	0.048	transcription profiling by array	TREATMENT
E-GEOD-64945	yes	yes	yes	0.067	0.067	transcription profiling by array	age | organism part
E-GEOD-64941	no	yes	no	-0.003	0.003	transcription profiling by array	None
E-GEOD-70475	no	yes	no	-0.022	0.022	transcription profiling by array	genotype | Stage
E-GEOD-26473	no	no	no	-0.070	0.070	transcription profiling by array	TREATMENT
E-GEOD-67678	no	yes	no	-0.039	0.039	transcription profiling by array	diet
E-GEOD-71257	no	yes	yes	0.089	0.089	RNA-Seq	genotype | organism part
E-GEOD-21576	no	yes	no	-0.002	0.002	transcription profiling by array	SAMPLE ID | GENOTYPE
E-GEOD-34532	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-34531	yes	yes	yes	0.060	0.060	transcription profiling by array	VARIATION | ORGANISM PART
E-MEXP-1444	no	yes	no	-0.013	0.013	transcription profiling by array	disease state
E-GEOD-33969	yes	yes	yes	0.053	0.053	transcription profiling by array	GENOTYPE/VARIATION
E-GEOD-52294	no	yes	yes	0.033	0.033	transcription profiling by array	GENOTYPE
E-GEOD-21087	yes	yes	yes	0.023	0.023	transcription profiling by array	LITTER PAIR | GENOTYPE/VARIATION
E-GEOD-16083	no	yes	yes	0.002	0.002	transcription profiling by array	environmental history
E-GEOD-38311	no	yes	no	-0.026	0.026	transcription profiling by array	TREATMENT
E-GEOD-70302	no	yes	no	-0.002	0.002	transcription profiling by array	genotype
E-GEOD-13224	yes	yes	yes	0.029	0.029	transcription profiling by array	None
E-GEOD-13225	yes	yes	yes	0.028	0.028	transcription profiling by array	None
E-GEOD-13227	yes	yes	yes	0.027	0.027	transcription profiling by array	None
E-MEXP-3771	yes	yes	yes	0.022	0.022	transcription profiling by array	genotype
E-GEOD-13221	no	yes	yes	0.027	0.027	transcription profiling by array	None
E-GEOD-13222	yes	yes	yes	0.028	0.028	transcription profiling by array	None
E-GEOD-13223	yes	yes	yes	0.021	0.021	transcription profiling by array	None
E-GEOD-49783	no	yes	no	-0.039	0.039	transcription profiling by array	None
E-GEOD-62001	no	yes	yes	0.012	0.012	RNA-Seq	treatment time | kd batch id
E-GEOD-32586	no	yes	yes	0.024	0.024	transcription profiling by array	U: UNKNOWN | AGE INDUCED DAYS | P: MUTANT | BATCH | LITTER | AGE HARVESTED DAYS
E-GEOD-32192	yes	yes	yes	0.005	0.005	RNA-Seq	organism | organism part
E-GEOD-75765	no	yes	yes	0.048	0.048	RNA-Seq	rna injected
E-MEXP-2603	yes	yes	yes	0.029	0.029	transcription profiling by array	DISEASE_STATE | ORGANISM_PART
E-GEOD-44583	no	yes	yes	0.006	0.006	transcription profiling by array	TRANSGENE | TREATMENT
E-GEOD-32583	yes	yes	no	-0.009	0.009	transcription profiling by array	DISEASE STATUS
E-GEOD-12312	no	yes	none	none	none	transcription profiling by array	
E-GEOD-33210	no	yes	none	none	none	transcription profiling by array	
E-MEXP-1553	no	yes	none	none	none	transcription profiling by array	
E-GEOD-17423	yes	yes	yes	0.013	0.013	transcription profiling by array	AGE
E-GEOD-26512	no	yes	yes	0.009	0.009	RNA-Seq	None
E-GEOD-37874	no	yes	no	-0.030	0.030	transcription profiling by array	GENOTYPE | COMPOUND
E-GEOD-57980	yes	yes	yes	0.030	0.030	RNA-Seq	age | genotype
E-GEOD-33368	no	yes	yes	0.036	0.036	transcription profiling by array	CELL
E-GEOD-57985	no	yes	no	-0.002	0.002	transcription profiling by array	outgrowth | cell type
E-GEOD-57984	yes	yes	yes	0.058	0.058	RNA-Seq	genotype
E-GEOD-52092	no	yes	yes	0.014	0.014	transcription profiling by array	genotype
E-GEOD-19179	no	yes	no	-0.013	0.013	transcription profiling by array	MRNA RATIO OF HS/MM (MOUSE) | ORGANISM | CELL TYPE | MRNA RATIO OF HS/MM (HUMAN)
E-GEOD-19176	no	yes	no	-0.044	0.044	transcription profiling by array	None
E-GEOD-57988	no	yes	no	-0.002	0.002	transcription profiling by array	TREATMENT
E-GEOD-16409	no	yes	no	-0.019	0.019	transcription profiling by array	GENOTYPE
E-GEOD-19172	yes	yes	yes	0.070	0.070	RNA-Seq	ANTIBODY
E-GEOD-17355	no	yes	no	-0.013	0.013	transcription profiling by array	GENOME/VARIATION
E-GEOD-3162	no	yes	none	none	none	transcription profiling by array	
E-GEOD-35755	yes	yes	yes	0.024	0.024	transcription profiling by array	VARIATION
E-GEOD-35751	no	yes	yes	0.003	0.003	transcription profiling by array	RNA
E-MTAB-1156	no	yes	yes	0.011	0.011	transcription profiling by array	Sex
E-GEOD-77820	yes	yes	yes	0.058	0.058	transcription profiling by array	genotype | sex
E-GEOD-77821	yes	yes	yes	0.053	0.053	transcription profiling by array	genotype | sex
E-GEOD-77822	yes	yes	yes	0.053	0.053	transcription profiling by array	genotype | sex
E-GEOD-46360	no	yes	no	-0.008	0.008	transcription profiling by array	ANDROGEN | GENOTYPE
E-GEOD-61751	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-30987	yes	yes	yes	0.010	0.010	transcription profiling by array	AGE
E-GEOD-17654	yes	yes	yes	0.025	0.025	transcription profiling by array	TISSUE | GROUP
E-GEOD-52106	no	yes	no	-0.027	0.027	transcription profiling by array	None
E-GEOD-9631	no	yes	no	-0.020	0.020	transcription profiling by array	None
E-GEOD-47104	no	yes	none	none	none	transcription profiling by array	
E-GEOD-34626	yes	yes	yes	0.041	0.041	transcription profiling by array	STRAIN | TISSUE | GENOTYPE/VARIATION | REPLICATE #
E-GEOD-74753	no	yes	yes	0.006	0.006	transcription profiling by array	None
E-GEOD-74750	no	yes	yes	0.047	0.047	RNA-Seq	genotype
E-MEXP-1430	no	yes	none	none	none	transcription profiling by array	
E-MTAB-2121	no	yes	yes	0.043	0.043	transcription profiling by array	age | genotype
E-GEOD-7762	no	yes	no	-0.038	0.038	transcription profiling by array	clinical information | strain
E-GEOD-53400	no	yes	yes	0.006	0.006	transcription profiling by array	GENOTYPE
E-GEOD-38188	no	yes	yes	0.007	0.007	transcription profiling by array	GESTATIONAL AGE OF PUPS
E-GEOD-63303	no	yes	yes	0.004	0.004	transcription profiling by array	genotype
E-GEOD-12409	no	yes	no	-0.021	0.021	transcription profiling by array	None
E-GEOD-67364	no	yes	yes	0.033	0.033	transcription profiling by array	None
E-GEOD-23729	no	yes	none	none	none	transcription profiling by array	
E-GEOD-2162	no	yes	none	none	none	transcription profiling by array	
E-GEOD-9310	no	yes	yes	0.034	0.034	transcription profiling by array	None
E-GEOD-65077	no	yes	yes	0.025	0.025	transcription profiling by array	None
E-GEOD-66480	yes	yes	yes	0.012	0.012	transcription profiling by array	genotype
E-GEOD-17331	no	yes	none	none	none	transcription profiling by array	
E-GEOD-23937	yes	yes	yes	0.068	0.068	transcription profiling by array	None
E-GEOD-5243	no	yes	yes	0.013	0.013	transcription profiling by array	None
E-GEOD-6998	yes	yes	none	none	none	transcription profiling by array	
E-GEOD-5538	no	yes	no	-0.026	0.026	transcription profiling by array	Genotype
E-GEOD-46564	no	yes	no	-0.025	0.025	transcription profiling by array	TREATMENT
E-GEOD-16243	no	yes	yes	0.004	0.004	transcription profiling by array	None
E-GEOD-44674	no	yes	no	-0.001	0.001	RNA-Seq	genotype | organism part | compound
E-GEOD-11211	no	yes	no	-0.016	0.016	transcription profiling by array	None
E-GEOD-16246	no	yes	yes	0.004	0.004	transcription profiling by array	None
E-GEOD-60402	yes	yes	yes	0.051	0.051	RNA-Seq	Y-COORDINATE | GENOTYPE | ANIMAL | X-COORDINATE
E-GEOD-35897	no	yes	none	none	none	transcription profiling by array	
E-GEOD-30187	no	yes	no	-0.006	0.006	transcription profiling by array	VARIATION | DEVELOPMENT PERIOD OF GROV | ORGANISM PART
E-GEOD-44175	no	yes	yes	0.003	0.003	transcription profiling by array	GENOTYPE | ORGANISM PART
E-GEOD-8454	yes	yes	yes	0.055	0.055	transcription profiling by array	None
E-GEOD-1419	no	yes	no	-0.010	0.010	transcription profiling by array	CellType
E-GEOD-17117	yes	yes	yes	0.036	0.036	transcription profiling by array	STRAIN
E-GEOD-58488	no	yes	no	-0.003	0.003	transcription profiling by array	genotype
E-GEOD-27305	yes	yes	yes	0.056	0.056	transcription profiling by array	GENOTYPE
E-GEOD-39109	no	yes	yes	0.103	0.103	transcription profiling by array	TRANSGENE(S) CARRIED | VARIATION
E-GEOD-51269	yes	yes	yes	0.003	0.003	transcription profiling by array	GENOTYPE
E-GEOD-83815	no	yes	no	-0.010	0.010	transcription profiling by array	None
E-GEOD-63759	no	yes	yes	0.008	0.008	transcription profiling by array	genotype
E-GEOD-8690	yes	yes	no	-0.013	0.013	transcription profiling by array	None
E-GEOD-41538	no	yes	no	-0.017	0.017	RNA-Seq	TREATMENT
E-MEXP-1721	yes	yes	yes	0.050	0.050	transcription profiling by array	GENOTYPE
E-GEOD-68729	no	no	no	-0.017	0.017	transcription profiling by array	genotype
E-GEOD-68728	no	no	no	-0.018	0.018	transcription profiling by array	genotype
E-GEOD-22996	no	yes	none	none	none	transcription profiling by array	
E-GEOD-22994	no	yes	none	none	none	transcription profiling by array	
E-GEOD-68723	yes	yes	no	-0.008	0.008	transcription profiling by array	genotype
E-GEOD-68890	yes	yes	yes	0.036	0.036	RNA-Seq	disease status | tissue compartment | organism | genotype
E-GEOD-52218	no	yes	yes	0.011	0.011	transcription profiling by array	BATCH | GENOTYPE
E-GEOD-47587	yes	yes	yes	0.031	0.031	transcription profiling by array	None
E-GEOD-68727	no	no	no	-0.018	0.018	transcription profiling by array	genotype
E-GEOD-1092	yes	yes	yes	0.026	0.026	transcription profiling by array	None
E-GEOD-68725	yes	yes	no	-0.008	0.008	transcription profiling by array	genotype
E-GEOD-68724	yes	yes	no	-0.008	0.008	transcription profiling by array	genotype
E-GEOD-35596	yes	yes	no	-0.004	0.004	transcription profiling by array	AGE (DAYS)
E-GEOD-4752	yes	yes	yes	0.021	0.021	transcription profiling by array	None
E-GEOD-54774	no	yes	no	-0.093	0.093	transcription profiling by array	dose | compound
E-GEOD-35592	no	yes	yes	0.017	0.017	transcription profiling by array	CELL TYPE | GENOTYPE/VARIATION
E-GEOD-35593	yes	yes	yes	0.028	0.028	transcription profiling by array	AGE | VARIATION
E-GEOD-25700	no	yes	no	-0.013	0.013	transcription profiling by array	GENOTYPE/VARIATION | DIET | SEX
E-GEOD-69635	yes	yes	no	-0.004	0.004	transcription profiling by array	genotype
E-GEOD-49387	no	yes	yes	0.006	0.006	transcription profiling by array	GENOTYPE
E-GEOD-60968	no	yes	no	-0.007	0.007	RNA-Seq	GENOTYPE
E-GEOD-4758	no	yes	no	-0.026	0.026	transcription profiling by array	None
E-GEOD-28195	no	yes	no	-0.003	0.003	transcription profiling by array	None
E-GEOD-66944	no	no	no	-0.040	0.040	transcription profiling by array	genotype
E-GEOD-46695	no	yes	no	-0.025	0.025	transcription profiling by array	GENOTYPE | TIME AFTER INJURY
E-GEOD-77623	no	yes	no	-0.018	0.018	RNA-Seq	None
E-GEOD-60248	yes	yes	no	-0.026	0.026	transcription profiling by array	None
